Hostname,IP,Ping_OK
PE-OPANG-SW 02,10.231.50.8,TRUE
PE-OPANG-SW 04,10.231.50.10,TRUE
PE-OPANG-SW 03,10.231.50.9,TRUE
PE-OPANG-SW 05,10.231.50.11,TRUE
PE-PTJ-COP-SW-01,10.255.11.253,TRUE
PE-PBE-COP-SW-17,10.255.1.235,TRUE
PE-OPANG-SW-13,10.231.50.13,TRUE
PE-OPANG-SW-14,10.231.50.14,TRUE
PE-OPANG-SW-15,10.231.50.15,TRUE
PE-OPHYO-SW 01,10.233.50.8,TRUE
PE-OPANG-SW-16,10.231.50.16,TRUE
PE-PBE-COP-SW-18,10.255.3.200,TRUE
PE-OPANG-SW-17,10.231.50.17,TRUE
PE-OPHYO-SW 06,10.233.50.7,TRUE
PE-OPANG-SW-19,10.231.50.19,TRUE
PE-PTJ-COP-SW-05,10.255.11.244,TRUE
PE-PBE-COP-SW-19,10.255.3.201,TRUE
PE-PBE-COP-SW-CORE-01,10.255.0.1,TRUE
PE-PBE-COP-SW-13,10.255.1.239,TRUE
PE-PTJ-COP-SW-04,10.255.11.245,TRUE
PE-PTJ-COP-SW-07,10.255.11.247,TRUE
PE-PTJ-COP-SW-10,10.255.11.248,TRUE
PE-PTJ-COP-SW-CORE-01,10.255.10.1,TRUE
PE-PTJ-COP-SW-06,10.255.11.246,TRUE
PE-PTJ-COP-SW-CORE-02,10.255.11.250,TRUE
PE-PTJ-COP-SW-08,10.255.11.249,TRUE
PE-PTJ-COP-SW-09,10.255.11.243,TRUE
CL-PEG-TI-SW-CORE,10.21.0.2,TRUE
PE-OPPIU-SW 02,10.232.50.3,TRUE
PE-PBE-COP-SW-02,10.255.3.253,TRUE
PE-PBE-COP-SW-01,10.255.3.252,TRUE
PE-PBE-COP-SW-03,10.255.3.251,TRUE
PE-MBV-TI-SW-01,10.225.50.2,TRUE
PE-MAQ-TI-SW-01,10.224.50.2,TRUE
PE-MAQ-TI-SW-FLUJOS,192.168.50.7,FALSE
CL-PEG-COP-SW-23,10.150.35.245,TRUE
CL-PEG-COP-SW-26,10.150.35.247,TRUE
CL-PEG-COP-SW-24,10.150.35.246,TRUE
PE-MAQ-COP-SW-10,10.255.21.248,TRUE
PE-MAQ-COP-SW-01,10.255.21.254,TRUE
PE-MAQ-COP-SW-03,10.255.21.249,TRUE
PE-MAQ-COP-SW-02,10.255.21.250,TRUE
PE-MAQ-COP-SW-05,10.255.21.243,TRUE
PE-MAQ-COP-SW-04,10.255.21.242,TRUE
PE-MAQ-COP-SW-06,10.255.21.244,TRUE
PE-MAQ-COP-SW-07,10.255.21.245,TRUE
PE-MAQ-COP-SW-CORE-02,10.255.21.253,TRUE
PE-MAQ-COP-SW-09,10.255.21.247,TRUE
PE-MAQ-COP-SW-08,10.255.21.246,TRUE
PE-MAQ-COP-SW-CORE-01,10.224.47.249,FALSE
PE-MCO-COP-SW-09,10.255.33.243,TRUE
PE-MCO-COP-SW-24,10.255.33.228,TRUE
PE-MCO-COP-SW-18,10.255.33.234,TRUE
PE-MCO-COP-SW-40,10.255.33.212,FALSE
PE-MCO-COP-SW-19,10.255.33.233,TRUE
PE-MCO-COP-SW-20,10.255.33.232,TRUE
PE-MCO-COP-SW-25,10.255.33.227,TRUE
PE-MCO-COP-SW-27,10.255.33.225,TRUE
PE-MCO-COP-SW-30,10.255.33.222,TRUE
PE-MCO-COP-SW-32,10.255.33.220,TRUE
PE-MCO-COP-SW-23,10.255.33.229,TRUE
PE-MCO-COP-SW-26,10.255.33.226,TRUE
PE-MCO-COP-SW-31,10.255.33.221,TRUE
PE-MCO-COP-SW-29,10.255.33.223,TRUE
PE-MCO-COP-SW-39,10.255.33.213,TRUE
PE-OPPIU-SW 01,10.232.50.8,TRUE
PE-OPLAM-SW CORE,10.235.50.1,TRUE
CL-PEG-COP-SW-34,10.150.35.253,TRUE
CL-PEG-COP-SW-8,10.150.123.9,TRUE
CL-PEG-TI-SW-01,10.21.2.253,TRUE
PE-MAQ-COP-SW-12,10.255.21.252,TRUE
PE-OPANG-SW-CORE-01,10.231.50.1,TRUE
PE-MCO-COP-SW-01,10.255.33.251,TRUE
PE-MCO-COP-SW-05,10.255.33.247,TRUE
PE-MCO-COP-SW-02,10.255.33.250,FALSE
PE-MCO-COP-SW-03,10.255.33.249,TRUE
PE-MCO-COP-SW-07,10.255.33.245,TRUE
PE-MCO-COP-SW-04,10.255.33.248,TRUE
PE-MCO-COP-SW-06,10.255.33.246,TRUE
PE-MCO-COP-SW-08,10.255.33.244,TRUE
PE-MCO-COP-SW-22,10.255.33.230,TRUE
PE-MCO-COP-SW-21,10.255.33.231,TRUE
PE-MCO-COP-SW-38,10.255.33.214,TRUE
PE-OPANG-SW-20,10.231.50.20,TRUE
PE-OPANG-SW-21,10.231.50.21,TRUE
PE-OPANG-SW-23,10.231.50.23,TRUE
PE-OPPIU-SW 03,10.232.50.4,TRUE
PE-OPPIU-SW 06,10.232.50.7,TRUE
PE-MCO-TI-SW-01,10.226.50.2,TRUE
CL-PEG-COP-SW-13,10.150.35.235,TRUE
CL-PEG-COP-SW-36,10.150.123.254,TRUE
PE-OPANG-SW-18,10.231.50.18,TRUE
PE-OPANG-SW-22,10.231.50.22,TRUE
PE-OPANG-SW-24,10.231.50.24,TRUE
PE-OPPIU-SW 07,10.232.50.9,TRUE
PE-OPPIU-SW 08,10.232.50.10,TRUE
PE-OPPIU-SW 09,10.232.50.11,TRUE
CL-PEG-COP-SW-CORE-01,10.150.36.1,TRUE
PE-CM-TI-SW-01,10.231.50.2,TRUE
PE-OPHYO-SW 07,10.233.50.10,TRUE
PE-OPATO- SW ADM,10.234.50.2,TRUE
PE-CM-TI-SW-02,10.231.50.4,TRUE
PE-OPHYO-SW 08,10.233.50.11,TRUE
PE-PBE-COP-SW-15,10.255.1.237,TRUE
PE-OPHYO-SW ADM,10.233.50.2,TRUE
PE-MCO-COP-SW-13,10.255.33.239,TRUE
PE-MCO-COP-SW-15,10.255.33.237,TRUE
PE-MCO-COP-SW-10,10.255.33.242,TRUE
PE-MCO-COP-SW-11,10.255.33.241,TRUE
PE-MCO-COP-SW-14,10.255.33.238,TRUE
PE-MCO-COP-SW-17,10.255.33.235,TRUE
PE-MCO-COP-SW-12,10.255.33.240,TRUE
PE-MCO-COP-SW-16,10.255.33.236,TRUE
PE-OPANG-TI-SW-01 Piso 5,10.231.50.3,TRUE
PE-OPPIU-SW 05,10.232.50.6,TRUE
PE-OPATO-SW CORE,10.234.50.1,TRUE
PE-OPHYO-SW 02,10.233.50.3,TRUE
PE-MAQ-COP-SW-11,10.255.21.251,TRUE
PE-MBV-SW-CORE,10.225.50.1,TRUE
PE-MCO-COP-SW-37,10.255.33.215,TRUE
PE-MCO-COP-SW-CORE-01,10.255.33.1,TRUE
PE-MCO-COP-SW-28,10.255.33.224,TRUE
PE-MCO-COP-SW-35,10.255.33.217,TRUE
PE-MAQ-SW-CORE,10.224.50.1,TRUE
PE-MCO-COP-SW-34,10.255.33.218,TRUE
PE-MCO-COP-SW-41,10.255.33.211,FALSE
PE-MCO-COP-SW-33,10.255.33.219,TRUE
PE-MCO-COP-SW-36,10.255.33.216,TRUE
PE-OPHYO-SW 03,10.233.50.4,TRUE
PE-PBE-COP-SW-12,10.255.1.240,TRUE
PE-PBE-COP-SW-04,10.255.1.248,TRUE
PE-PBE-COP-SW-11,10.255.1.241,TRUE
PE-PBE-COP-SW-10,10.255.1.242,TRUE
PE-PBE-COP-SW-05,10.255.1.247,TRUE
PE-PBE-COP-SW-08,10.255.1.244,TRUE
PE-OPHYO-SW 05,10.233.50.6,TRUE
PE-MTR-SW-CORE,10.227.50.1,TRUE
PE-PBE-COP-SW-09,10.255.1.243,TRUE
PE-PBE-COP-SW-06,10.255.1.246,TRUE
PE-PBE-COP-SW-07,10.255.1.245,TRUE
PE-PBE-COP-SW-14,10.255.1.238,TRUE
PE-PBE-COP-SW-16,10.255.1.236,TRUE
PE-PBE-COP-SW-CORE-02,10.255.1.252,TRUE
PE-OPPIU-SW 04,10.232.50.5,TRUE
PE-OPPIU-SW-CORE,10.232.50.1,TRUE
PE-OPPIU-SW ADM,10.232.50.2,TRUE
PE-CM-TI-SW-04,10.231.50.6,TRUE
CL-PEG-COP-SW-4,10.150.35.230,TRUE
CL-PEG-COP-SW-7,10.150.35.243,TRUE
PE-CM-TI-SW-03,10.231.50.5,TRUE
CL-PEG-COP-SW-9,10.150.36.15,TRUE
CL-PEG-COP-SW-10,10.150.35.229,TRUE
CL-PEG-COP-SW-16,10.150.35.240,TRUE
CL-PEG-COP-SW-2,10.150.35.218,TRUE
CL-PEG-COP-SW-35,10.150.36.50,TRUE
CL-PEG-COP-SW-12,10.150.35.232,TRUE
CL-PEG-COP-SW-14,10.150.35.239,TRUE
CL-PEG-COP-SW-17,10.150.35.242,TRUE
CL-PEG-COP-SW-1,10.150.35.110,TRUE
CL-PEG-COP-SW-25,10.150.35.244,TRUE
CL-PEG-COP-SW-32,10.150.35.237,TRUE
CL-PEG-COP-SW-3,10.150.35.223,TRUE
CL-PEG-COP-SW-20,10.150.35.221,TRUE
CL-PEG-COP-SW-5,10.150.35.233,TRUE
CL-PEG-COP-SW-33,10.150.35.219,TRUE
CL-PEG-COP-SW-15,10.150.35.241,TRUE
CL-PEG-COP-SW-18,10.150.35.225,TRUE
PE-PTJ-COP-SW-11,10.255.11.242,TRUE
CL-PEG-COP-SW-19,10.150.35.222,TRUE
CL-PEG-COP-SW-11,10.150.35.231,TRUE
PE-PTJ-COP-SW-02,10.255.11.252,TRUE
PE-PTJ-COP-SW-03,10.255.11.251,TRUE
PE-MTR-TI-SW-01,10.227.50.2,TRUE
PE-OPHYO-SW-CORE,10.233.50.1,TRUE
CL-PEG-COP-SW-22,10.150.35.227,TRUE
CL-PEG-COP-SW-28,10.150.35.226,TRUE
CL-PEG-COP-SW-29,10.150.35.249,TRUE
CL-PEG-COP-SW-31,10.150.35.236,TRUE
CL-PEG-COP-SW-27,10.150.35.224,TRUE
CL-PEG-COP-SW-30,10.150.35.250,TRUE
CL-PEG-COP-SW-21,10.150.35.228,TRUE
CL-PEG-COP-SW-6,10.150.35.234,TRUE
PE-SW-CORE-MSS-TI,172.22.138.10,FALSE
